 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Subgrupo proced. e Ano/mês processamento
Período:Jan/2008-Ago/2020
"Subgrupo proced.";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"0402 Cirurgia de glândulas endócrinas";323224,37;465953,86;512621,90;537491,55;564899,18;562862,67;605506,09;601846,24;610627,98;620500,90;579379,03;594452,73;424992,11;528733,67;593320,82;589149,74;610832,69;605337,23;592024,50;611234,20;572893,55;625459,98;628056,91;575930,01;469306,93;508465,49;555438,10;644685,15;686330,94;654872,12;694467,91;680936,08;626186,68;609320,66;654574,40;618656,09;519772,20;565936,18;648438,62;614526,14;681587,94;628997,75;679088,03;621254,27;603782,56;664872,17;621931,61;629927,28;552224,81;552182,82;676714,52;679143,99;687079,89;711428,22;678604,96;715172,41;684949,83;795375,68;670708,20;629222,76;543510,33;518159,88;639432,66;588650,60;661064,99;594997,85;654340,79;688908,43;679711,37;687988,24;666774,20;601140,72;598627,28;642703,35;594466,54;701260,88;654610,19;589785,37;722502,38;702620,82;761622,97;787225,75;754169,65;712982,45;665340,90;653164,19;777157,08;719822,49;757774,57;737321,31;759146,83;742336,69;702625,30;787171,16;829092,15;613067,51;541427,55;579764,45;638621,69;653241,53;643961,01;672642,83;693936,98;625390,09;685092,90;659899,47;694077,31;636081,23;528111,38;600118,39;667627,85;631012,45;703546,06;645034,64;643099,93;696904,27;666057,99;729184,57;606799,26;661240,94;613028,80;550460,96;640656,73;700837,01;692751,42;603365,87;762508,75;751358,85;739619,12;694525,71;667465,05;645463,06;628588,06;661574,34;706303,08;713667,93;731021,20;707668,77;738314,78;763675,63;662455,51;762769,74;649285,04;629286,75;587537,39;595014,33;541216,94;247034,44;206942,55;221489,19;207829,10;211108,26;95682472,30
"0403 Cirurgia do sistema nervoso central e periférico";5856578,19;13567064,17;14663925,00;25323044,69;21099153,56;22742811,20;23809628,51;22977782,93;22977965,56;21701691,33;17775070,97;22092150,25;22391849,78;22383323,48;25108260,39;24441853,53;25198644,34;25151777,36;26163450,39;27323314,36;25355823,29;26296722,86;25350934,69;24390819,16;24910259,00;22331666,31;24358024,79;26077016,34;26126492,08;24862043,76;25587164,24;26650006,65;26228562,76;23549019,27;25402243,98;23492469,61;22577715,39;23309044,22;23548139,78;23352043,68;23430151,71;23801757,32;25130036,38;23243075,44;24351415,42;25413672,66;25115331,71;24227349,45;23246737,82;21814139,18;26453131,81;23997587,24;24993891,76;25448263,05;24497881,55;25419987,50;25198135,98;24902509,63;24367465,96;23126775,95;23879174,96;23526482,99;24833248,66;27020034,77;26063573,46;24871982,49;27169708,33;26911502,48;27353979,74;27252939,62;25235447,34;25662979,94;27020066,17;25544009,62;25023791,17;25820007,63;26525368,35;25219034,43;28136286,71;28752705,04;27342223,80;26168223,34;25526815,33;23762443,81;24160716,62;23893922,59;25441735,51;24550795,81;26201898,34;26136870,08;26581419,13;27173680,47;25763306,64;24789110,20;24940462,33;24378183,27;23696777,04;23287926,65;24532385,33;25189372,71;24194658,50;25529436,27;26438716,94;26142986,67;24160788,53;24376917,49;24517177,25;24253487,77;24360726,71;23085067,45;25552096,00;24212781,43;26284824,25;25084088,48;25908225,57;25869003,02;25028952,62;26407025,53;25714115,81;24053088,45;25204963,40;24525615,66;25230961,68;25363354,70;25682264,11;25707416,43;26970108,46;26562326,83;25824116,65;26045641,12;25298873,41;24301601,50;27921176,41;24301711,01;25415878,59;25214183,74;26556660,15;23774052,13;26396237,17;25693306,05;25230185,57;27308990,54;26074272,92;24080932,09;26320897,43;25378538,09;25915798,56;22315788,26;22031834,21;21517155,49;22629916,96;23499871,60;3745494237,93
"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";4013272,23;8703216,15;10336957,20;8904889,64;9610663,88;10820022,38;10962883,29;10495913,61;9923964,07;10780677,06;9812091,79;11384675,69;9760216,53;11340029,93;11918233,73;11680110,70;12221796,76;12400188,44;13555527,22;13728132,19;13345458,56;13402063,54;12931391,64;12333729,61;11242180,59;11923938,42;14274832,53;13567202,67;13568511,29;13109016,75;13768788,37;14990282,95;14577913,78;14298029,15;14480746,96;13271448,16;13110617,04;14276669,44;14435708,65;16146431,54;16768670,93;15726204,94;16246642,53;17076938,10;15288987,38;15552943,44;15054023,53;15407371,27;14862380,43;15281949,47;16387593,54;15641801,37;16075357,99;16328418,69;15515736,99;17930468,59;16620350,61;16112824,19;15451557,54;15438057,91;15633141,59;16259295,92;16159234,55;17720885,63;17641716,07;17334824,55;19823531,46;19701737,16;19171622,04;19781125,53;18067678,64;17585563,09;17837397,73;17900966,29;17476488,76;19090938,70;18983042,28;17268436,10;20846487,91;20954505,84;19484239,17;21261890,29;19832284,10;19142998,29;17863723,61;18337844,26;19394239,94;18551268,91;19099790,54;19199006,13;19400709,03;19070241,09;18119370,45;19093220,40;17869619,61;17974208,28;16569170,27;15824475,71;16758482,81;17473037,51;17336660,62;17851347,37;17410795,87;18332406,21;17725615,09;17511715,27;16538712,82;15855595,27;16633441,04;16093872,45;17757513,51;15347754,94;16859834,06;16648425,50;17069722,03;18109257,35;17334328,16;18865830,09;17448966,45;17402473,96;15691320,41;15143362,12;16661825,08;16990087,27;16410193,21;17043885,93;18024983,74;18118269,05;16549069,61;18690264,53;18028637,21;16735936,40;16651395,59;15512110,04;15692167,59;16493304,78;17716885,01;17011328,69;18818795,01;19435875,62;18104519,60;17941036,19;16506359,75;16510377,15;16311186,39;16192457,48;15245621,55;9844287,36;9565967,18;10285916,09;11521186,09;12305534,77;2395623558,36
"0405 Cirurgia do aparelho da visão";1228645,08;1877552,55;1979056,49;2394910,70;2491805,03;2584020,48;3149572,83;3309845,19;3822053,83;3972119,96;3474743,03;3818419,58;2673338,28;3279567,18;3760731,62;3924059,80;4389907,99;4553184,86;4878181,85;4462693,69;4818847,62;5115607,63;5004819,35;4783549,96;4056079,48;3925534,84;4707241,00;4787456,12;5368122,88;5159437,81;5494571,07;5565629,94;5636405,00;5214785,87;5468206,34;5432467,04;4506915,90;5329361,09;5289817,63;5722304,09;6164230,68;6132698,50;6065531,91;6125855,88;6030487,68;5769202,52;5878483,66;5873088,83;5298802,60;5155193,02;6049034,07;5787384,42;6753814,07;6278372,79;6782085,87;7237884,84;7053359,20;6870811,79;6785925,36;6055716,15;5346830,75;5502960,38;5933417,78;6591728,97;7165187,21;7461824,35;7849830,13;7782966,09;7184243,67;8564092,16;7090166,18;6877004,08;6480290,25;7452012,25;6923920,95;6601322,60;7266834,76;6858797,66;7584130,75;8261004,13;8869759,50;8648109,78;8705854,06;7087365,55;6335896,93;6117949,76;8161478,26;7602926,41;7699214,45;7583571,78;7966036,45;8325233,86;7782869,27;8424048,91;8219841,74;6984459,67;6126816,48;6150257,70;7052871,02;7611719,06;8036886,45;7868449,42;8234572,21;8616549,93;7696517,59;7959281,47;7681968,19;6594930,95;6501124,29;6314377,97;7271704,39;6765767,13;7870972,32;7531252,52;8516131,17;9593185,31;9736107,85;10175272,93;10425359,74;11335524,13;9115393,39;10274972,37;12032591,71;11111328,34;11685434,89;11945903,58;12500661,19;12064409,38;12248732,61;14584587,21;15174867,60;13719044,84;10148103,02;11145972,17;11730174,88;11813853,24;14269716,63;14480096,08;16218466,13;14454116,76;13021073,12;13026767,36;12773615,55;11062469,57;10683992,59;10391190,08;9291767,48;4435358,96;4943331,20;6196022,68;6837990,13;7795660,35;1109697981,31
"0406 Cirurgia do aparelho circulatório";38875703,76;87109487,19;84132931,28;78955341,36;83002514,68;86540293,30;91417332,39;87524376,26;89803435,01;83821356,81;84733482,96;89460691,63;84570042,47;88993634,73;96100155,59;91192455,83;95947682,64;94830694,94;102329428,14;105223565,65;101538432,58;99676918,25;101106042,06;100190130,80;93280967,63;87691641,42;95972831,42;101425319,11;103567141,80;97361115,61;100651386,63;107734805,98;103540670,36;101789803,21;114134362,05;113023196,44;107485962,04;108825424,22;116746668,19;117923903,95;119224184,79;112302383,51;122026277,99;123611105,62;120203956,45;119779675,49;119815472,95;120993215,19;120783217,01;112652864,56;127423370,98;120793508,38;123651208,47;123702028,64;128319202,54;130256838,29;121974840,11;123576288,62;126498125,57;117019766,44;117822018,76;112989756,24;124067044,92;129474545,44;130032018,58;123100584,71;131134099,26;130946642,48;132335032,10;134323530,20;128820997,01;127994661,20;124216318,66;126319085,62;121549314,47;128338602,06;136277005,52;130534942,72;136785594,76;139160424,42;139577080,35;141983567,25;137413717,53;128946435,29;124850600,14;123588650,68;132540650,78;128368165,52;131659320,62;139289886,94;139659701,29;139258675,38;137511672,16;136303626,21;133516713,27;129223700,33;123886960,96;124617138,38;134639160,41;131078692,98;133770448,56;133056783,61;138602029,72;137392487,50;133041647,03;138081772,03;132442938,06;134117516,02;132447927,91;123559325,70;133900755,74;128224537,03;143219978,67;132533636,25;139324982,26;141525725,15;145436590,19;139835000,69;140746245,97;141044545,18;135642071,10;128818890,58;143203766,22;141530520,92;138837349,98;135633537,85;144069099,63;145498420,69;142039952,00;144744232,98;143155571,47;141113657,52;143650898,87;140527397,51;139858306,92;144091777,77;150059935,74;143642319,93;148894814,13;155093983,28;150596303,22;157064995,54;148624058,33;146636171,01;145709460,49;144611931,11;145167579,44;116517877,48;109257008,44;106973653,23;115850464,92;124320897,46;18660716976,60
"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";22692797,84;35475655,36;39022359,01;41340496,50;43644143,68;45399728,71;46097941,91;46434497,84;45753337,85;45032114,85;40345982,77;46971091,41;41290310,24;44403212,23;50199765,22;48787386,27;52010051,35;51434372,39;52621700,23;51891116,85;51866684,78;53139610,49;51503668,09;49675361,72;48345547,21;45692929,64;53087018,87;52509834,60;53801416,03;51733036,93;53381938,73;54809812,69;53373949,25;52787836,23;53567799,29;51738629,10;47036454,21;47740071,85;50116752,04;50639514,21;52339093,97;52001983,55;53313653,81;52550146,38;53305560,68;53701416,05;52303716,53;53490743,37;48971018,34;48217029,67;53623995,14;52270133,24;55647308,14;55003010,73;54827948,66;56155644,12;55292821,62;55990380,36;52708303,99;49319176,06;49429973,51;48784706,28;53264986,00;58097766,94;59127872,27;56917967,30;58889596,36;60454396,56;60562953,15;61614713,82;61355198,47;56622726,84;56625699,67;57195207,57;58421659,33;59355943,95;61965271,75;58856604,11;61173245,87;63587338,60;64747841,93;64621450,59;63832543,02;56910203,29;55944503,66;55664146,27;62747127,24;60885538,87;62511263,65;60596343,25;62327406,29;61382611,40;61111035,92;61577724,89;60372849,44;57080551,29;53237588,16;55370899,99;59489365,69;60647381,59;60238304,71;61036703,63;61425975,30;63422245,80;61352369,31;59192412,30;59602612,90;56871412,05;54644050,59;53831832,17;60485358,06;58614889,37;63123591,33;61473621,45;63327372,14;67106174,20;64378421,02;67196484,52;65981693,42;65944585,72;61098788,89;58003380,67;64907748,33;66647406,39;66433152,19;64924913,02;67092318,86;69790940,11;69081290,96;72092400,88;69686661,28;65138017,32;61995011,81;63638974,87;65098417,24;67675677,24;72683712,89;69660071,36;72396599,34;72656115,90;70008931,34;72755498,91;69174987,63;64575677,60;63737859,22;62306917,86;58626937,69;37224201,79;36461526,40;35077071,65;35963470,73;37876723,44;8555532731,46
"0408 Cirurgia do sistema osteomuscular";24296831,75;40461984,24;43074480,68;45452121,10;46939773,42;51001260,67;51054961,16;51663094,81;51967534,22;52842560,52;47727146,83;48449911,00;45823558,48;47056555,33;50142428,60;49238851,33;50900973,39;51533235,58;54799920,95;54610160,40;53638317,27;52514711,75;52052013,79;50714288,97;49321188,66;45658949,69;51340238,13;50624687,61;54507650,55;51950975,31;55200132,07;56908986,20;56135251,48;54278305,43;55806864,85;56162226,02;51582477,05;51165516,53;53314255,66;52386097,04;54064006,21;54831289,46;59174789,47;58258770,42;57565655,82;58371542,01;56706248,48;55360626,35;51937822,38;50657426,27;56860457,70;53614590,16;57351960,68;56347980,75;56956239,95;58429952,79;57449095,07;58017054,48;57115979,26;54321401,93;57446918,19;54899258,80;61735042,26;64302911,34;63258549,32;62321117,39;65114379,78;68100239,26;66859765,80;69170903,63;66543637,31;64762286,46;63898248,60;62910647,90;62534809,30;64407987,04;69307248,77;65795129,41;70168751,83;72778556,63;71130660,00;73539774,34;71380332,34;66147453,76;65537340,37;63586929,20;69219156,89;66720597,17;68579894,71;68676021,29;73612076,21;71084457,60;70523462,96;71179363,27;68914704,48;65310060,18;63502717,68;62173234,93;67266042,12;64968209,06;66378326,29;70722520,07;71259914,63;74370358,72;68642076,40;70685870,16;68600052,20;67167179,82;64242364,59;63060775,12;66395473,30;63606389,80;71327202,17;68525628,68;73584861,94;75387510,04;73423638,96;73594922,08;69164697,87;70949141,14;68223142,36;64446501,63;69185458,76;68801991,03;69586215,47;70190826,52;72263638,37;76344968,41;74778028,43;76151899,69;72624951,63;70619126,03;72421542,04;68608404,34;70383273,01;71176033,65;76359027,94;71305433,59;77679063,06;80902393,06;76233024,36;78914301,86;75631901,78;71783615,78;72460130,75;71675345,87;70236407,79;57336327,90;56872188,49;55176623,62;59345263,42;58991960,94;9434860161,30
"0409 Cirurgia do aparelho geniturinário";11059938,03;16238417,03;18418868,86;18647302,12;19776612,22;20070386,58;21743623,57;21908470,60;21671340,94;21914389,02;20028402,72;21445382,72;16607024,73;18626415,29;20317409,67;20190191,18;21936055,70;21775912,88;22979912,73;22784576,45;22880938,96;23984656,73;23209235,56;22087050,06;19179083,80;19484085,12;22800401,28;22361477,10;23788684,07;22743963,91;23181662,27;23889721,57;23160889,04;23313223,18;23571695,81;22384361,86;18423564,28;20591959,32;20593345,77;21175462,48;21584203,65;22358212,61;22641432,77;22446506,66;23047765,42;22861044,59;21591348,27;21634793,41;18643779,12;19208780,02;22355049,71;21373406,11;22598256,91;22037950,30;22383766,64;23420007,40;23270627,49;22901645,26;21814785,33;19300267,84;17404668,49;16769100,47;19674901,00;20927718,38;21766081,69;21565678,06;22454824,91;24207600,50;24363759,65;24569871,33;23502822,53;22211840,75;20197189,35;21962559,34;22120568,05;23159273,13;24195546,09;22525342,70;23684011,52;25200191,65;25500409,55;26944445,54;26750820,68;23088670,23;20395911,76;20403074,13;23965031,07;23359759,39;24054606,89;23665109,13;24175878,70;23494580,73;23489267,63;24291652,17;23408974,01;21796026,32;18662321,43;19067717,78;21513489,53;22089876,48;22516438,54;22911857,95;22701365,08;23850729,75;23399880,95;21867114,11;21321707,54;20820310,36;18221643,26;18984559,06;20977079,84;20469064,02;21974293,68;21851104,53;23329363,75;24987384,01;24481351,15;25493650,94;25035488,43;24235447,35;21645282,18;20231672,47;23873855,89;24445689,13;24201035,29;23592498,88;24745472,15;25751767,06;26771775,57;27085027,10;27081096,46;25266838,85;20594519,61;22533691,25;23113360,58;24261224,38;26394805,44;25906209,02;27529735,24;27220616,90;26283697,06;27448854,11;26032291,40;23739717,23;21728962,42;22987845,74;20497911,36;10949968,58;10205066,52;10115931,60;11114070,82;12707950,79;3346489172,84
"0410 Cirurgia de mama";615466,77;885263,14;1417532,42;1418393,22;1444728,03;1464825,44;1602723,99;1660840,34;1600800,71;1673213,34;1640760,24;1534616,58;1278438,95;1432732,94;1566730,50;1621603,82;1683379,82;1707022,84;1768151,87;1709590,53;1654328,54;1753489,63;1716452,49;1585829,71;1362239,98;1413968,56;1644186,99;1721983,90;1747017,86;1704348,97;1646351,13;1740812,13;1622785,70;1670151,70;1590983,83;1568758,94;1355115,56;1574440,41;1519484,84;1559508,14;1657013,19;1600731,52;1714559,75;1674261,80;1639304,18;1708519,17;1554642,46;1553786,56;1332001,26;1414018,42;1656202,87;1592896,31;1782124,77;1697165,29;1665742,96;1740885,42;1723244,15;1719129,45;1696898,61;1488067,13;1331001,38;1207227,83;1369918,46;1395869,26;1422494,11;1370428,03;1442337,26;1465396,92;1455407,06;1547514,93;1524835,10;1407087,64;1376636,28;1437939,83;1449403,68;1512886,02;1606777,88;1528313,66;1537094,26;1684419,98;1721772,66;1654457,52;1676955,40;1402553,75;1311745,31;1363692,94;1561188,75;1511413,68;1578750,31;1693555,42;1676055,10;1665291,36;1620113,76;1590089,67;1418621,93;1448133,63;1216471,46;1262808,55;1578042,64;1481810,07;1568214,06;1593328,10;1615986,99;1664049,27;1671527,23;1549544,43;1493319,95;1501887,30;1210301,13;1297393,52;1511530,65;1489053,62;1614042,91;1639434,83;1665861,03;1713617,81;1657637,56;1616935,43;1549240,73;1515665,97;1392934,47;1276086,49;1545304,61;1627016,40;1586050,15;1563525,93;1627411,18;1791640,93;1726880,84;1662015,01;1539278,52;1425824,43;1458361,35;1502269,55;1544032,74;1671061,37;1832936,73;1650376,10;1725209,84;1813473,63;1798524,55;1876957,18;1682014,16;1457430,91;1415466,39;1462788,16;1282495,33;643098,24;484581,03;486462,64;523526,10;597953,98;230808324,71
"0411 Cirurgia obstétrica";29698920,61;39637412,77;43212585,06;43090899,86;44991058,81;45965634,76;46197653,99;46263900,80;45719754,68;45274437,08;39557948,55;44404007,51;45209870,91;44486907,30;50253942,41;48879123,28;50551953,50;48388878,01;49005098,93;47799570,13;49758261,34;48740753,87;47009630,07;46564803,25;50093086,54;47057271,63;51815885,76;51121720,32;52146545,24;50507817,05;52182154,02;51087308,09;49233873,33;50574065,52;49371075,12;48467694,15;50130396,58;48561066,78;53956757,36;53504765,95;53091155,44;53901939,33;55140672,85;52073494,02;52589948,46;51650408,04;51250640,36;51008031,56;51491740,81;51333983,24;56140543,37;55135748,43;56167907,45;55202176,10;55190350,86;53483590,66;52241541,29;52606173,82;51505355,50;49505020,51;54200404,76;51287748,08;54937434,02;57457462,87;56802159,56;56415734,36;57095000,68;57350213,38;55326723,60;54876742,10;52588787,55;51134465,43;55332659,20;53819761,83;57198832,22;56289407,83;59481126,62;55805817,22;59465828,60;57881300,73;57038174,94;56363498,63;54998877,68;53225927,96;57454244,63;53874487,51;58725563,00;58643364,67;60080419,67;58917468,16;59648898,49;58082831,82;58106569,31;56694849,71;56328887,97;54499905,87;58078425,03;57165816,17;58837682,84;58906234,58;61193701,82;60003875,91;58386311,53;58512336,58;56927998,21;54900608,69;52982921,50;54178317,59;56130816,80;54774732,42;61040366,58;60517851,72;64269218,39;64006122,74;64666985,12;65434868,57;64250319,85;63138314,51;61525572,50;61375063,49;62522568,26;63153248,76;66627583,06;67460304,50;68488809,85;66633891,77;66683344,30;66316857,45;63658720,81;62761548,98;61521884,67;59824010,58;64917196,30;62066214,66;66420232,62;64724862,94;67706820,78;64997958,04;65370152,10;65586557,27;64767699,29;63949701,30;60953405,21;60717273,32;65745815,02;62081229,41;63760696,98;65583261,73;66884884,04;63513192,28;63700223,09;59078256,34;8477999362,53
"0412 Cirurgia torácica";2710275,38;3796787,54;6319386,23;5859991,61;6176671,24;7064549,00;7774009,76;7029059,09;6992068,18;6982581,40;6180833,62;8235537,14;7507619,07;7839820,76;9232504,48;7961877,61;8685143,70;8618692,90;9075712,90;8772722,40;8394180,98;8369066,02;8983182,87;8234983,50;8199745,21;7820229,93;8317058,01;8236688,30;8222858,45;8452657,32;8575457,99;8662202,35;8781806,66;8360452,84;9132436,62;9411196,95;9928857,14;9359511,46;9256895,75;9962382,09;10378694,78;10553048,09;10487355,04;10753240,46;11730737,53;11031249,71;10761033,35;10951433,28;11115401,15;10335824,72;11127080,74;9980776,82;11391468,65;11142731,48;11549845,43;12313446,84;11831113,24;11413690,06;11459092,73;10385974,91;12047107,00;10794642,73;10059554,51;11518465,60;12082075,90;12151412,17;12214400,01;12539472,88;11955936,11;12711937,61;11841541,03;11717465,62;13093492,86;11583894,76;12638072,36;11708581,05;12546816,74;12562233,48;14078573,74;13454376,13;12548687,76;13242222,34;13532167,94;12540771,96;12921549,61;11905378,01;12926778,11;12896674,29;13023437,19;13392873,54;14204975,44;13931982,25;14227541,66;14532716,77;13182169,41;13928643,07;13634468,58;13823560,12;13607285,16;12989837,10;14611226,70;14023109,35;14801017,72;14405627,25;13997413,32;13831467,52;13695920,90;13280798,03;13926369,47;12135201,39;14565355,72;13124017,79;14523633,14;14429292,15;14501315,71;14133866,70;14515149,47;14889359,44;15061355,30;13547175,10;14042171,44;13387123,14;14177330,39;14063458,93;14399911,48;14939549,99;15861344,14;15647645,68;14901411,51;14888766,28;13559812,51;14297265,93;15511858,76;13795003,90;13950084,31;14724720,88;15555900,41;14554249,69;15932386,27;15497710,80;15253496,94;16019737,50;14916560,30;14802488,38;15049876,88;14836446,61;14812685,24;14751419,24;14102636,23;14191140,57;14975256,69;15450354,82;1803313184,07
"0413 Cirurgia reparadora";2946296,08;4626153,77;5460604,47;5537288,39;5973904,61;6113507,98;6775881,09;6698021,57;6247147,92;6947903,97;6073625,94;7222834,21;6793021,85;6340103,74;7616913,64;7010611,39;7416956,47;6869656,88;7619098,69;7178454,87;7209682,87;7569497,95;7806184,94;7274707,39;6986164,04;6353121,61;7676125,17;7907217,06;7093811,62;7115419,14;7281436,47;7952589,40;7524147,52;7612719,37;7932775,15;7798115,40;7269066,10;7274642,65;6783455,75;7512846,05;7137289,31;6828166,57;7131109,71;7584050,21;7861465,39;7724635,65;7552036,24;7196372,72;7252029,66;7406519,49;7603432,85;7480152,99;7654645,95;7387040,26;7033637,99;7738348,05;7427424,16;7539439,34;7212784,31;6950741,74;7524734,78;7515706,52;7529765,12;7754312,00;7732772,32;7792743,85;7529308,77;7434931,85;9076460,69;9338732,28;6899708,75;9831867,39;8293671,06;7507847,84;8075475,32;7858255,48;6595056,69;6311537,38;7347379,60;7216331,83;7392921,81;7374651,31;7303722,33;6601192,44;7111702,28;6654925,69;7215192,38;6443497,91;6709872,00;6724725,53;6806916,55;6802728,77;7008468,24;6777784,97;7052472,90;6507081,26;7292012,71;6675227,78;6622831,82;6520374,29;6853320,79;6454197,41;6763619,93;7621670,97;6756040,21;6263303,56;6429682,20;6769966,18;6510743,88;6570088,24;7068573,17;6232944,70;6592719,08;6219508,12;6858849,56;6889607,45;6954668,19;7082792,33;6772482,28;6712197,96;7137242,35;6968129,51;7124036,76;6884610,20;6699884,01;6413663,05;7292838,25;6993489,49;7023978,61;6973979,95;6968666,66;6375017,50;7205539,12;6679833,77;6676353,96;7053750,82;7315400,96;7129997,25;7394766,20;7283478,77;7084718,22;7858171,43;6687840,05;6951991,46;7061222,49;7371228,92;6838822,58;5764163,36;5831416,88;6036801,79;5776870,02;6124433,62;1069227252,48
"0414 Bucomaxilofacial";826739,46;1207521,58;1500552,09;1448332,79;1531123,61;1721882,10;1558925,08;1628700,80;1774052,33;1821914,28;1572900,51;1688661,82;1481540,51;1725195,84;1995569,28;1877657,66;2070334,25;2243411,22;2345366,84;2039568,30;2102427,65;2137399,58;2161183,89;1940296,64;1884312,52;1736866,05;1959074,53;2148350,04;2107926,75;1995347,21;1928079,79;1935462,16;2007858,61;2026004,92;2034991,04;2085327,60;1759726,86;1798703,39;445684,46;285547,02;302381,10;337034,47;295493,13;389960,18;410859,63;370625,57;384984,40;282536,75;225347,44;245695,50;259432,33;301552,95;340227,29;333624,14;335203,79;308080,98;286007,24;278578,65;275886,64;206070,38;169366,06;176847,51;199381,75;244936,84;260223,27;271477,80;255615,38;307253,29;293593,55;286960,80;284277,07;262701,92;245750,82;250193,79;282809,79;268288,95;308029,03;296983,57;340071,55;341894,91;394904,57;381733,57;398334,57;328773,99;240413,44;291458,95;377603,62;346171,84;361040,73;394956,14;374996,40;382471,25;434347,36;442625,80;397254,69;362285,84;315031,01;322747,69;394560,54;411201,50;402839,99;411420,32;449387,31;448717,54;438255,52;393182,92;377360,28;377443,52;323358,71;361654,70;413748,79;377968,05;415663,34;437604,26;461660,40;457701,97;450919,40;461257,73;438966,87;431478,53;392565,56;403405,34;441784,42;458274,30;514707,43;460139,31;498698,55;471057,93;476019,01;523106,25;439317,17;451454,97;447525,49;487257,63;447967,45;476599,23;525476,55;455250,27;524613,18;565563,15;585007,94;571509,04;617256,17;505966,07;499733,62;472027,55;397999,30;202027,34;214048,31;205995,51;229823,61;234868,10;111937310,67
