 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Subgrupo proced. e Unidade da Federação
Período:Jan/2008-Ago/2020
"Subgrupo proced.";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"0402 Cirurgia de glândulas endócrinas";815479,52;415553,65;1571458,55;228748,24;1632102,19;326811,90;642622,16;2737698,94;1681118,09;4710038,57;1414875,61;1668848,54;3232906,70;1260569,64;1090198,35;3885427,15;12188904,56;1083003,27;8513326,32;25929171,62;5602511,36;3562146,21;5874966,78;1169087,35;1729457,95;1732533,69;982905,39;95682472,30
"0403 Cirurgia do sistema nervoso central e periférico";22606120,25;10366934,23;35236601,54;4306320,87;77383196,64;1625475,73;21193656,19;65011981,79;79285342,33;128452135,44;62682154,00;43035192,81;143658903,43;31853279,91;33127943,25;157242877,55;430531680,40;59380494,10;234420534,74;1035174743,40;337509795,58;152287978,34;322198043,46;52966230,46;38472070,05;95938506,97;69546044,47;3745494237,93
"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";6805629,98;9741765,58;25543708,91;5066477,84;53230455,83;787721,86;9455755,17;39249686,27;34137714,67;119989507,57;65178701,99;25479404,41;108519740,68;20736421,70;13986988,79;109016256,38;254403123,04;48292010,42;99150151,96;608341751,37;272805414,47;123402641,43;204910310,96;14334776,68;27941353,54;64484484,46;30631602,40;2395623558,36
"0405 Cirurgia do aparelho da visão";4507439,43;813464,19;8683009,39;332875,10;20897926,56;27093,79;3215873,39;23609930,30;8899761,22;18434638,52;12173988,29;4787554,68;32165269,41;19962532,27;11007156,80;107380928,39;107152003,10;24471171,95;76543895,31;354584062,85;80530909,88;26429130,37;71308982,87;21157566,34;4787341,87;50775703,36;15057771,68;1109697981,31
"0406 Cirurgia do aparelho circulatório";16364405,47;11537621,22;125875982,54;598275,80;228235723,21;39635120,96;80010668,63;135777217,92;151364827,37;645747886,11;284204857,01;231290280,19;636864242,60;221810779,98;118925795,90;584715901,24;2340035518,66;430257985,97;980713072,87;4899852095,74;2256972000,76;968964239,21;1912983814,93;276722919,23;160357059,05;662037636,81;258861047,22;18660716976,60
"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";51208501,23;30471447,60;126742323,20;14879493,95;261656786,97;19648536,09;48262202,40;237474522,27;116651343,62;289852034,93;105689359,48;113995940,18;333699532,87;98190776,54;76398745,24;527693693,90;957919820,44;178665746,17;458758919,13;1977793113,19;862684695,02;380975219,56;655550817,85;120899456,52;128388714,77;259339292,18;122041696,16;8555532731,46
"0408 Cirurgia do sistema osteomuscular";51385169,14;31191265,15;74754521,11;13273155,21;242190868,80;11102291,93;51506662,12;179960223,86;133348981,77;297526537,40;96225374,13;115874215,41;352985480,04;103013406,58;78863855,15;449469329,33;1197927686,18;193311664,95;631248796,34;2196490034,95;914545956,59;447499006,85;725446937,35;124486895,59;133047295,68;427579833,48;160604716,21;9434860161,30
"0409 Cirurgia do aparelho geniturinário";23020267,33;7666006,16;40239438,24;6424528,08;128588829,53;8626684,12;22872922,55;138349975,02;63579713,98;134752391,40;52297725,32;52684718,76;158541695,39;54278638,91;42386254,18;310379319,78;372737281,17;54123599,24;205398926,94;712987959,29;191224689,04;128034436,11;199288973,57;40658314,60;47818949,40;105768610,33;43758324,40;3346489172,84
"0410 Cirurgia de mama";738697,76;597149,96;2082497,89;640759,48;4921560,76;572489,08;1054080,82;3278420,67;2019057,26;11141547,46;2875078,61;6143037,42;12300683,88;2426541,58;1922061,56;11581123,52;26058557,12;2188928,73;17779119,95;66864932,96;11183894,74;8298929,95;17358048,76;3257911,84;2038310,32;5697175,16;5787727,47;230808324,71
"0411 Cirurgia obstétrica";76478755,37;53853413,42;184254037,31;35735419,01;453796223,61;31385787,89;91058230,96;228817230,06;188462686,49;490016245,25;214266129,59;217524960,58;485735388,60;213119854,25;76375690,53;552541689,26;868179313,01;175492244,78;381289466,30;1675681351,52;432185193,55;302806274,45;388229927,41;137349133,08;153193104,19;199436076,32;170735535,74;8477999362,53
"0412 Cirurgia torácica";5946277,95;2546816,22;17965153,63;3953569,37;44455018,57;2819245,92;9902952,28;30384418,33;23498723,05;71851675,07;22334629,60;24121258,05;61180819,75;13855123,65;8240504,80;76661247,04;203072126,75;34646138,49;70992236,45;408903009,54;235688380,77;127925614,58;161976205,99;45376968,22;18752143,64;45162478,06;31100448,30;1803313184,07
"0413 Cirurgia reparadora";1865823,82;692839,62;23153649,52;434650,30;45344916,94;1471224,01;6961730,30;14191831,81;25063829,25;54451052,00;10738695,85;23525005,88;158368288,79;9335697,50;6306812,92;68083911,16;98912233,99;20686581,69;48292635,32;194704725,99;104551190,90;29417255,70;37223396,82;20544993,47;9723702,13;45464919,92;9715656,88;1069227252,48
"0414 Bucomaxilofacial";407322,02;312803,54;560539,21;368893,03;12686071,57;96871,97;1146722,64;1316009,55;1060287,87;2258157,28;1344453,15;2017041,18;6399362,10;1476047,94;1082527,62;5416292,63;13257978,27;1518706,70;6924516,31;23427319,58;7695116,02;4347695,98;9158804,96;1165023,20;1857066,24;3129490,09;1506190,02;111937310,67
"0415 Outras cirurgias";53239151,22;23343374,72;78028894,28;17156103,69;397707543,15;3239150,78;117145350,07;239086631,86;146641886,53;648019224,00;399577286,63;226272158,49;1043136749,58;147266894,97;39009868,01;1196132741,21;1937931720,19;361668248,88;745264229,66;3405257381,67;1446877469,23;1178025598,73;1016159718,88;293127328,45;139763760,29;388998611,51;123026206,98;15811103283,66
"0416 Cirurgia em oncologia";12826980,68;6082421,73;42474287,63;3889630,59;49636844,48;3726531,48;17953237,73;101655413,89;43187742,42;177397794,89;90650809,86;73581967,66;229383469,71;30843396,38;18859250,20;263110952,49;538708307,20;114911335,22;247626020,60;1081241191,54;443963799,99;185441164,14;404641669,45;44469498,24;45073700,39;135673638,07;54938585,37;4461949642,03
"0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante";-;-;-;-;-;-;-;-;-;1266791,28;1932100,28;-;2692011,13;-;-;55730,16;6018763,00;9860,94;1644893,54;18020189,11;3769021,29;-;2339062,66;-;-;913879,63;357821,73;39020124,75
"0503 Ações relacionadas à doação de orgãos e tecidos para transplante";612010,85;422484,60;2174590,17;5554,84;2013686,67;-;155396,85;945262,36;2407792,19;26693174,44;1826080,35;2234459,06;22829218,04;1024043,69;1281042,32;9666124,09;41957295,91;7017660,81;16766486,56;156646076,76;59054361,81;37201623,19;38693806,57;3902132,57;228374,07;2500849,22;9064512,38;447324100,37
"0504 Processamento de tecidos para transplante";-;-;19577,60;-;319484,00;-;99688,00;-;302937,60;-;-;660436,00;3181640,80;-;-;-;25202,40;-;395476,00;919814,40;9698880,37;-;105788,80;376611,20;-;-;-;16105537,17
"0505 Transplante de orgãos, tecidos e células";3335688,29;7705655,03;5654007,96;-;16664308,48;-;224006,10;11702089,44;10929103,43;314137622,33;42985807,63;16293508,19;387139224,69;6287665,91;810670,14;101879463,30;463919723,23;81947049,32;280664845,09;1983046685,63;536321372,50;286137709,75;459698061,36;10535121,87;318650,20;51593208,83;106382778,71;5186314027,41
"0506 Acompanhamento e intercorrências no pré e pós-transplante";144030,48;854969,79;411469,34;-;7331191,95;-;1926,95;1555588,59;3351590,78;40798923,36;9102730,83;1911285,14;47719983,45;1680078,19;10799,85;12309474,76;80315312,76;8335529,91;21132903,31;318440242,53;59948819,37;36325996,17;87956068,83;2903881,58;247409,76;7582051,95;7747778,21;758120037,84
"Total";929129659,72;420668039,63;1771654871,23;305010883,18;4437115730,71;291637984,75;999998621,85;3632860959,84;2130616492,35;6197357245,98;2477372149,60;2470550104,25;8046954289,39;2104405303,11;1130337049,71;9193802684,16;19160106499,88;3139189177,73;9696364115,11;38929549655,88;13786964617,27;7324100054,96;11958647088,33;2172157981,36;2036923784,59;4657350310,70;2429933198,76;161830758554,03
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
